method1_clean,ctm_cma_avg,ctm_nn_avg,hopf_avg,jr_avg,pca_avg,psd_ae_avg,wong_wang_avg
ctm_cma_avg,1.0,0.00471075843043741,0.0044072481272503725,0.002421024779081489,0.007472676983559402,0.007183691568752851,0.0017536360899807065
ctm_nn_avg,0.00471075843043741,1.0,0.012582727195798346,0.007479844905699446,0.04602945246977853,0.04672768096860557,0.002702070341671375
hopf_avg,0.0044072481272503725,0.012582727195798346,1.0,0.005488485859469784,0.03944125206780055,0.03920051469855611,0.0021157185569406814
jr_avg,0.002421024779081489,0.007479844905699446,0.005488485859469784,1.0,0.017945364562590525,0.01787971363209119,0.0017986285858751412
pca_avg,0.007472676983559402,0.04602945246977853,0.03944125206780055,0.017945364562590525,1.0,0.33160985811847254,0.004257966302637046
psd_ae_avg,0.007183691568752851,0.04672768096860557,0.03920051469855611,0.01787971363209119,0.33160985811847254,1.0,0.004344942342494599
wong_wang_avg,0.0017536360899807065,0.002702070341671375,0.0021157185569406814,0.0017986285858751412,0.004257966302637046,0.004344942342494599,1.0
