method1_clean,c22,ctm_nn_pc,eegnet,hopf_pc,jr_pc,pca_pc,psd_ae_pc
c22,0.0,0.8650229437011658,0.8481425358635091,0.9698094427944254,0.9787123245050146,0.8951181678941453,0.8765988276758857
ctm_nn_pc,0.8650229437011658,0.0,0.8674967271603845,0.9527558075069019,0.9688251812635078,0.6311385805444879,0.6477628687054147
eegnet,0.8481425358635091,0.8674967271603845,0.0,0.9484937498190232,0.9663631205054749,0.7453180455638222,0.6365022381872029
hopf_pc,0.9698094427944254,0.9527558075069019,0.9484937498190232,0.0,0.9709902523096512,0.9013176068760145,0.8991620465814463
jr_pc,0.9787123245050146,0.9688251812635078,0.9663631205054749,0.9709902523096512,0.0,0.9183797868839152,0.9271418826399928
pca_pc,0.8951181678941453,0.6311385805444879,0.7453180455638222,0.9013176068760145,0.9183797868839152,0.0,0.181096690685957
psd_ae_pc,0.8765988276758857,0.6477628687054147,0.6365022381872029,0.8991620465814463,0.9271418826399928,0.181096690685957,0.0
