method1_clean,c22,ctm_nn_pc,eegnet,hopf_pc,jr_pc,pca_pc,psd_ae_pc
c22,1.0,0.0,0.9904164442730337,0.0,0.913324915528555,0.9758004721626531,0.9780044304785469
ctm_nn_pc,0.0,1.0,0.9256727261240507,0.0,0.9057431213970356,0.9942651186068988,0.9945837431661124
eegnet,0.9904164442730337,0.9256727261240507,1.0,0.9243744653512066,0.8467463149823413,0.9448429178405348,0.948377639559663
hopf_pc,0.0,0.0,0.9243744653512066,1.0,0.8942221700496605,0.9837973660090832,0.9839244002275976
jr_pc,0.913324915528555,0.9057431213970356,0.8467463149823413,0.8942221700496605,1.0,0.9399624010858656,0.9393153107656493
pca_pc,0.9758004721626531,0.9942651186068988,0.9448429178405348,0.9837973660090832,0.9399624010858656,1.0,0.999680700337191
psd_ae_pc,0.9780044304785469,0.9945837431661124,0.948377639559663,0.9839244002275976,0.9393153107656493,0.999680700337191,1.0
