method1_clean,c22,ctm_nn_pc,eegnet,hopf_pc,jr_pc,pca_pc,psd_ae_pc
c22,1.0,0.05902249380408131,0.006416120986015525,0.123426994234996,0.09343406657619022,0.004602392009979482,-0.0010773090409493264
ctm_nn_pc,0.05902249380408131,1.0,0.10162994318928256,-0.07994471847659489,0.06760030657054682,0.8466995405695089,0.7861155430164476
eegnet,0.006416120986015525,0.10162994318928256,1.0,-0.08371853464901789,-0.13682397430606746,0.14307310368664447,0.31673582198135813
hopf_pc,0.123426994234996,-0.07994471847659489,-0.08371853464901789,1.0,0.23063449413878617,-0.17512887015499334,-0.2155109377571594
jr_pc,0.09343406657619022,0.06760030657054682,-0.13682397430606746,0.23063449413878617,1.0,0.11737988534447655,0.02776170349723898
pca_pc,0.004602392009979482,0.8466995405695089,0.14307310368664447,-0.17512887015499334,0.11737988534447655,1.0,0.923316499513635
psd_ae_pc,-0.0010773090409493264,0.7861155430164476,0.31673582198135813,-0.2155109377571594,0.02776170349723898,0.923316499513635,1.0
