method1_clean,c22,ctm_nn_pc,eegnet,pca_pc,psd_ae_pc
c22,1.0,0.03591572172471043,0.050021692265987905,0.05653596820950757,0.05633586753156957
ctm_nn_pc,0.03591572172471043,1.0,0.09117690289677696,0.20643249292873253,0.17781705768893682
eegnet,0.050021692265987905,0.09117690289677696,1.0,0.1778116680907369,0.1867800150503693
pca_pc,0.05653596820950757,0.20643249292873253,0.1778116680907369,1.0,0.4831426982722852
psd_ae_pc,0.05633586753156957,0.17781705768893682,0.1867800150503693,0.4831426982722852,1.0
