method1_clean,c22,ctm_nn_pc,eegnet,hopf_pc,jr_pc,pca_pc,psd_ae_pc
c22,1.0,0.41742548487368364,0.5274833417776272,0.16508244707820158,0.08762742390020113,0.3605550611381566,0.4084132825071486
ctm_nn_pc,0.41742548487368364,1.0,0.48413072709653304,0.33322419387599855,0.2463209964290336,0.7676875073899156,0.7318733722013613
eegnet,0.5274833417776272,0.48413072709653304,1.0,0.276308993835405,0.1467105056167747,0.53135608486448,0.6559772175400915
hopf_pc,0.16508244707820158,0.33322419387599855,0.276308993835405,1.0,0.1371297127682713,0.4031502606756308,0.403022159231846
jr_pc,0.08762742390020113,0.2463209964290336,0.1467105056167747,0.1371297127682713,1.0,0.2914796922038278,0.2555790845113033
pca_pc,0.3605550611381566,0.7676875073899156,0.53135608486448,0.4031502606756308,0.2914796922038278,1.0,0.8933102358766254
psd_ae_pc,0.4084132825071486,0.7318733722013613,0.6559772175400915,0.403022159231846,0.2555790845113033,0.8933102358766254,1.0
