method1_clean,c22,ctm_nn_pc,eegnet,hopf_pc,jr_pc,pca_pc,psd_ae_pc
c22,1.0,0.03591572172471043,0.050021692265987905,0.01168854461922347,0.007044852699513365,0.05653596820950757,0.05633586753156957
ctm_nn_pc,0.03591572172471043,1.0,0.09117690289677696,0.02754035941356337,0.018165742895745383,0.20643249292873253,0.17781705768893682
eegnet,0.050021692265987905,0.09117690289677696,1.0,0.02902162563615772,0.015664778083557648,0.1778116680907369,0.1867800150503693
hopf_pc,0.01168854461922347,0.02754035941356337,0.02902162563615772,1.0,0.007066517118795374,0.045045252780285164,0.042464112589879845
jr_pc,0.007044852699513365,0.018165742895745383,0.015664778083557648,0.007066517118795374,1.0,0.027290958231257913,0.026114082707789695
pca_pc,0.05653596820950757,0.20643249292873253,0.1778116680907369,0.045045252780285164,0.027290958231257913,1.0,0.4831426982722852
psd_ae_pc,0.05633586753156957,0.17781705768893682,0.1867800150503693,0.042464112589879845,0.026114082707789695,0.4831426982722852,1.0
