method1_clean,c22,ctm_nn_pc,eegnet,hopf_pc,jr_pc,pca_pc,psd_ae_pc
c22,1.0,0.26436084922774244,0.40887939841200116,0.12134293364144302,0.04858031157863599,0.23184221575771446,0.29421780254896235
ctm_nn_pc,0.26436084922774244,1.0,0.3237340064736156,0.22314738971243434,0.09222402933337952,0.5589158950167532,0.5838161131459124
eegnet,0.40887939841200116,0.3237340064736156,1.0,0.2099457886540127,0.10349662785941727,0.4432443559484038,0.6133653377687542
hopf_pc,0.12134293364144302,0.22314738971243434,0.2099457886540127,1.0,0.12366015307115091,0.3028622607743304,0.30279923674989984
jr_pc,0.04858031157863599,0.09222402933337952,0.10349662785941727,0.12366015307115091,1.0,0.23832241364337012,0.19823296930388132
pca_pc,0.23184221575771446,0.5589158950167532,0.4432443559484038,0.3028622607743304,0.23832241364337012,1.0,0.8582723723412572
psd_ae_pc,0.29421780254896235,0.5838161131459124,0.6133653377687542,0.30279923674989984,0.19823296930388132,0.8582723723412572,1.0
