method1_clean,ctm_cma_avg,ctm_nn_avg,hopf_avg,jr_avg,pca_avg,psd_ae_avg,wong_wang_avg
ctm_cma_avg,1.0,0.01457751197571155,0.003100912711717056,0.002055592734368947,0.023713059076353852,0.023433211593568665,0.008780021764784408
ctm_nn_avg,0.01457751197571155,1.0,0.052118371571736724,0.020569677715532735,0.43550367588309097,0.40503866349672374,0.1371851121418301
hopf_avg,0.003100912711717056,0.052118371571736724,1.0,0.02504143359643319,0.08057466107646358,0.0922538153840385,0.02628473535358265
jr_avg,0.002055592734368947,0.020569677715532735,0.02504143359643319,1.0,0.08342894016567122,0.0711431651042057,0.03842610340800531
pca_avg,0.023713059076353852,0.43550367588309097,0.08057466107646358,0.08342894016567122,1.0,0.8335595228651083,0.21838733532722662
psd_ae_avg,0.023433211593568665,0.40503866349672374,0.0922538153840385,0.0711431651042057,0.8335595228651083,1.0,0.22877736557387943
wong_wang_avg,0.008780021764784408,0.1371851121418301,0.02628473535358265,0.03842610340800531,0.21838733532722662,0.22877736557387943,1.0
