method1_clean,ctm_cma_avg,ctm_nn_avg,hopf_avg,jr_avg,pca_avg,psd_ae_avg,wong_wang_avg
ctm_cma_avg,1.0,0.009016658056648846,0.01204507962381835,-0.0016897953063991526,-0.007138219885167392,-0.01960713417212049,0.0027773288935259797
ctm_nn_avg,0.009016658056648846,1.0,-0.015599628648792933,0.0023404839550804947,0.7884655823780408,0.6765948318536378,0.1091206531025445
hopf_avg,0.01204507962381835,-0.015599628648792933,1.0,0.0879535398275384,-0.07510168354335124,-0.09633635154773243,0.0033843475046020258
jr_avg,-0.0016897953063991526,0.0023404839550804947,0.0879535398275384,1.0,0.03469593375100933,0.014488589360115031,0.009720477202015304
pca_avg,-0.007138219885167392,0.7884655823780408,-0.07510168354335124,0.03469593375100933,1.0,0.9100070210325173,0.12130013368227813
psd_ae_avg,-0.01960713417212049,0.6765948318536378,-0.09633635154773243,0.014488589360115031,0.9100070210325173,1.0,0.14484638983051068
wong_wang_avg,0.0027773288935259797,0.1091206531025445,0.0033843475046020258,0.009720477202015304,0.12130013368227813,0.14484638983051068,1.0
