method1_clean,ctm_cma_avg,ctm_nn_avg,hopf_avg,jr_avg,pca_avg,psd_ae_avg,wong_wang_avg
ctm_cma_avg,1.0,0.6673390600620903,0.6420568659100495,0.4600079409355056,0.6818996943100579,0.6734523884945861,0.3990840787087442
ctm_nn_avg,0.6673390600620903,1.0,0.8966587915607204,0.708397980073408,0.9866365693123936,0.9869398140137668,0.6263963575972941
hopf_avg,0.6420568659100495,0.8966587915607204,1.0,0.6276144948593007,0.9163242503456173,0.9172594798110442,0.5928856604361895
jr_avg,0.4600079409355056,0.708397980073408,0.6276144948593007,1.0,0.752537177631614,0.7481311641758102,0.525585927978624
pca_avg,0.6818996943100579,0.9866365693123936,0.9163242503456173,0.752537177631614,1.0,0.9990295670464996,0.6523443576152522
psd_ae_avg,0.6734523884945861,0.9869398140137668,0.9172594798110442,0.7481311641758102,0.9990295670464996,1.0,0.6785475054990805
wong_wang_avg,0.3990840787087442,0.6263963575972941,0.5928856604361895,0.525585927978624,0.6523443576152522,0.6785475054990805,1.0
