method1_clean,ctm_cma_avg,ctm_nn_avg,hopf_avg,jr_avg,pca_avg,psd_ae_avg,wong_wang_avg
ctm_cma_avg,0.0,0.9851609438442042,0.9955660537586415,0.9974804396150665,0.9708113496406229,0.9720441714463667,0.992391604998059
ctm_nn_avg,0.9851609438442042,0.0,0.9671353098237667,0.98516778878445,0.7442807633143367,0.7648402657287496,0.863434308672465
hopf_avg,0.9955660537586415,0.9671353098237667,0.0,0.9854803602076504,0.9331145459464518,0.9263618133324468,0.9854057820393645
jr_avg,0.9974804396150665,0.98516778878445,0.9854803602076504,0.0,0.9425278998275252,0.9470191039022076,0.9763228248609753
pca_avg,0.9708113496406229,0.7442807633143367,0.9331145459464518,0.9425278998275252,0.0,0.1695958145951124,0.8822405586292156
psd_ae_avg,0.9720441714463667,0.7648402657287496,0.9263618133324468,0.9470191039022076,0.1695958145951124,0.0,0.8759924714792701
wong_wang_avg,0.992391604998059,0.863434308672465,0.9854057820393645,0.9763228248609753,0.8822405586292156,0.8759924714792701,0.0
