method1_clean,ctm_cma_avg,ctm_nn_avg,hopf_avg,jr_avg,pca_avg,psd_ae_avg,wong_wang_avg
ctm_cma_avg,1.0,0.05865199736668946,0.017664232627846978,0.008926903266818642,0.08195503181015472,0.08066898957495645,0.014975684727659639
ctm_nn_avg,0.05865199736668946,1.0,0.15812755767112932,0.12205524228701324,0.7249993609369727,0.6266702724283024,0.28534500929327505
hopf_avg,0.017664232627846978,0.15812755767112932,1.0,0.02792474238175183,0.21504158749759505,0.20422362533197658,0.049950043257194474
jr_avg,0.008926903266818642,0.12205524228701324,0.02792474238175183,1.0,0.12983899693157822,0.11388160422008925,0.05432743280499712
pca_avg,0.08195503181015472,0.7249993609369727,0.21504158749759505,0.12983899693157822,1.0,0.866389100678678,0.26798083668669354
psd_ae_avg,0.08066898957495645,0.6266702724283024,0.20422362533197658,0.11388160422008925,0.866389100678678,1.0,0.27295425560814957
wong_wang_avg,0.014975684727659639,0.28534500929327505,0.049950043257194474,0.05432743280499712,0.26798083668669354,0.27295425560814957,1.0
